mode,model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
bypass,qwen2.5-14b,0.828,0.35,0.776,0.367,0.789,0.351
bypass,llama3.1-8b,0.857,0.359,0.677,0.361,0.738,0.348
bypass,qwen2.5-7b,0.796,0.36,0.589,0.35,0.652,0.335
bypass,mistral-7b,0.697,0.436,0.494,0.351,0.554,0.366
bypass,gemma4-e4b,0.476,0.512,0.442,0.499,0.45,0.497
graphrag,llama3.1-8b,0.377,0.28,0.656,0.279,0.444,0.243
graphrag,mistral-7b,0.334,0.304,0.945,0.11,0.426,0.254
graphrag,qwen2.5-7b,0.315,0.301,0.936,0.114,0.411,0.257
graphrag,gemma4-e4b,0.331,0.308,0.459,0.27,0.337,0.241
graphrag,qwen2.5-14b,0.437,0.365,0.325,0.32,0.315,0.269
zeroshot,qwen2.5-14b,0.834,0.321,0.692,0.335,0.741,0.312
zeroshot,qwen2.5-7b,0.798,0.329,0.692,0.32,0.724,0.304
zeroshot,llama3.1-8b,0.826,0.316,0.628,0.347,0.684,0.315
zeroshot,gemma4-e4b,0.588,0.467,0.571,0.46,0.556,0.441
zeroshot,mistral-7b,0.391,0.368,0.625,0.378,0.423,0.327
